,da_name,lat_name,eng_name,group_name,class_name,order_name,family_name,text
12,Almindelig kvik (Senegræs),Elytrigia repens,Twich/Quick grass,Græsser og siv,Enkimbladet,Græsordenen,Græsfamilien,"Almindelig kvik er en meget almindelig og vidt udbredt græsart overalt i Danmark. Planten vokser på strandenge, marker og græsenge samt i klitområder, haver og vejkanter. Blade og stængel Græsartens stængel er opret, grøn og hul indeni. Bladende er flade og slappe. Desuden er bladene forsynet med hår på oversiden samt nogle ret utydelige strenge. Blomster Almindelig kvik bærer aks, som er en form for blomster. Akset består af flere småaks med 3-6 blomster. Småaksene sidder i to rækker. Akset er ca. 5-15 cm langt og sidder øverst på de seje strå. Når almindelig kvik blomstrer, kan man se blomsternes støvknapper."
13,Almindelig kællingetand,Lotus corniculatus,Birdsfoot trefoil,Urter,Tokimbladet,Ærteblomstordenen,Ærteblomstfamilien,"Almindelig kællingetand er meget almindelig og hyppig i hele Danmark. Urten vokser både på tør og fugtig jordbund på strandbredder, i klitter, vejkanter, på marker, overdrev, enge, heder og skrænter. Blade og stængel Urten kan både være opstigende og nedliggende med oprette og grenede skud. Bladene er 3-koblede med store akselblade inderst ved stænglen. Småbladene er omvendt ægformede og blågrønne på undersiden. Blomster og frugter Almindelig kællingetands blomster er gule med orange skær. De har ærtekroner og sidder 4-6 blomster sammen i en skærm. Blomsterknopperne er rødlige. Urtens frugter er lange, smalle bælge med frø, der spredes ved vindslyngning."
14,Almindelig mangeløv,Dryopteris filix-mas,Male-fern,Bregner,Karsporeplanter,Engelsødordenen,Mangeløvfamilien,"Almindelig mangeløv er den mest almindelige bregne i Danmark. Planten er flerårig med en kraftig jordstængel og en tueformet vækst. Bladene sidder tæt sammen ved roden og breder sig ud derfra ligesom en tragt. I Danmark findes seks arter af mangeløv, som alle er almindelige. De vokser især på fugtige skråninger, og ofte på nordsiden eller på steder, hvor der er skygge en stor del af dagen. Blade Bladene er mørkegrønne på oversiden og lysere grønne på undersiden. Bladene er tykke, og bladranden er uregelmæssigt takket. Almindelig mangeløv formerer sig og spredes ved sporer, som sidder i små runde sporehuse på undersiden af bladene. Sporene modnes midt på sommeren og spredes med vinden."
15,Almindelig røllike,Achillea millefolium,Yarrow,Urter,Tokimbladet,Kurvblomstordenen,Kurvblomstfamilie,"Almindelig røllike er hyppig og meget almindelig i hele Danmark, hvor urten vokser på næringsrig jordbund på enge, skrænter, overdrev, brakmarker, strandenge, i vejkanter og som ukrudt i haver. Planten breder sig med underjordiske udløbere fra jordstænglen. Stængel og blade Planten er rank og opret med en håret og rillet stængel. Bladene sidder spredt og er fjersnitdelte og hårede. Lige over jorden har rølliken bladrosetter, der overvintrer og danner nye stængler til foråret. Blomster og frugter Rølliken har små hvide blomsterkurve, der består af skiveblomster med rørformede kroner og randblomster med tungeformet krone. Kurvene er samlet i tætte halvskærme. Frugterne spredes om vinteren, når vinden rusker dem af."
16,Almindelig salturt,Salicornia europaea,Saltwort,Urter,Tokimbladet,Nellikeordenen,Salturtfamilien,"Almindelig salturt eller kveller er almindelig i det meste af Danmark, dog ikke på Bornholm. Urten tåler og kræver meget salt, og den vokser på strandenge, strandbredder, kystnære mudderflader og i Vadehavet. Planten danner ofte store bevoksninger og binder slikket og dyndet ved kysterne. Stængel, blade og blomster Almindelig salturt er en lav urt, der er tydeligt leddelt. Stænglen er kødet og grenet med skælformede blade, der sidder parvis modsatte (overfor hinanden) ved stænglens led. Bladene er nærmest sammenvoksede. Blomsterne sidder tre sammen indsænket i stænglen ved leddene. Planten er  rødlig under blomstringen, men ellers græs- eller blågrøn."
17,Almindelig sumpstrå,Eleocharis palustris,Common spike-rush,Græsser og siv,Enkimbladet,Halvgræsordenen,Halvgræsfamilien,"Almindelig sumpstrå vokser på søbredder, i moser, grøfter, vandhuller og på fugtige enge. Planten er almindelig og ret hyppig i Danmark. Stængler, blomster og frugter Almindelig sumpstrå er en opret plante, med mørkegrønne og faste strå. Øverst på stråene eller stænglerne sidder der enlige, sortbrune aks. Aksene er aflange med en længde på 5-20 mm og består af 20-40 blomster. Hver blomst er beskyttet af en brun eller sort dækskal og har 2-3 støvfang samt en griffel. Blomsten har desuden børster, der senere omgiver nødden.  "
18,Almindelig torskemund,Linaria vulgaris,Common toadflax,Urter,Tokimbladet,Læbeblomstordenen,Maskeblomstfamilien,"Almindelig torskemund forekommer hyppigt på tør og sandet jord i det meste af Danmark. Planten vokser på strandvolde, marker, overdrev samt i klitter, vejkanter, grøftekanter og grusgrave. Planten formerer sig desuden ved rodskud og kan danne tætte bevoksninger. Stængel og blade Almindelig torskemund er en rank og opret urt med spredte, ustilkede blade, der er smalle, glatte og blå- eller grågrønne. Blomster og frugter Planten har store blomsterklaser med gule blomster, der er op til 3 cm lange. Blomsterne er maskeformede med orange maske og en lang, spids spore med nektar. Nektaren tiltrækker honningbier og humlebier, der bestøver blomsterne. Urtens frugter er kapsler med sorte frø, som spredes med vinden."
19,Almindelig vandranunkel,Ranunculus aquatilis,Common water-crowfoot,Urter,Tokimbladet,Ranunkelordenen,Ranunkelfamilien,"Almindelig vandranunkel er udbredt i det meste af landet. Den findes i næringsrigt vand i søer, damme og vandløb. Vandranunkel kan danne tætte bevoksninger og planten kan delvist dække større vandoverflader eller mindre damme. Stængel og blade Vandplanten har op til 150 cm lange stængler, der er rodfæstet i dyndet på bunden. Stænglerne har både findelte, trådformede undervandsblade og runde, lappede flydeblade med tandet bladrand. Blomster og frugter Vandranunkels blomster er hævet op over vandoverfladen på ca. 2-7 cm lange stilke. Blomsterne er desuden 1-2 cm brede med gule støvblade og hvide kronblade med gul basis. Urtens frugter er små nødder."
20,Ask,Fraxinus excelsior,Ash,Træer,Tokimbladet,Løvfældende,Olivenfamilien,"Ask er et meget almindeligt træ i skove og parker. Bladene er sammensat af 9-13 lange, småblade. De sidder over for hinanden på en lille stilk. I spidsen sidder et lille blad. Frugter og blomster Ask findes både som han- og hun-planter. De blomstrer før bladene springer ud. De store, sorte knopper er lette at kende. Blomsterne er små og lilla. Frugterne er små aflange nødder med en vinge. De spredes med vinden og spirer næste forår. Hvad bruges ask til? I skovbruget dyrkes mest hantræer, fordi de ikke grener sig så meget som huntræerne. Asketræ er hårdt og bruges bl.a. til gulve, møbler og skafter til redskaber."
21,Bidende stenurt,Sedum acre,Goldmoss stonecrop,Urter,Tokimbladet,Rosenordenen,Stenurtfamilien,"Bidende stenurt er meget almindelig og hyppig overalt i Danmark. Planten vokser i klitter, vejkanter, på skrænter, stendiger, strandvolde, stenede strandbredder og klippekyster. Urten danner ofte tætte tuer. Stængel og blade Bidende stenurt er en lav urt med krybende og grenede stængler. Bladene sidder tæt, er opadrettede, tykke og gulgrønne. Plantens blade er desuden saftige og kan oplagre vand i lang tid af gangen. Det betyder, at planten kan overleve en længere tørkeperiode.  Blomster og frugter Urtens blomster er skrigende gule og stjerneformede med fem spidse kronblade. Blomsterne er samlet i kvaste. Frugterne er flerfoldsfrugter, der består af 5 bælgkapsler med frø. Frugterne er stjerneformede."
22,Birk,Betula pubescens/Betula pendula,White birch/Silver birch,Træer,Tokimbladet,Løvfældende,Birkefamilien,"I Danmark findes to vildtvoksende arter af birk, dunbirk og vortebirk. Dunbirken har dunede årsskud.  Unge grene hos vortbirk er beklædt med små harpiksvorter. Dunbirken angribes af en svamp, der kan danne ”heksekoste”. Begge arter blomstrer i begyndelsen af maj. Frugterne er modne i juli. De spredes med vinden og dækker ofte jorden omkring træet. Blade, blomster og frugter Bladene er ret små, og hos vortebirk er de trukket ud i en spids. De har en dobbelt savtakket kant. Dunbirkens blade ligner meget vortebirkens, men de er ikke så spidse, og de er kun enkelt-takkede i kanten. Bladene bliver gule tidligt i oktober. Frugten består af en lille nød med vinger."
23,Blæretang,Fucus vesiculosus,Bladderwrack,Alger,Brunalger,Fucales,Klørtangfamilien,"Blæretang er en meget almindelig og særdeles udbredt alge ved alle de danske kyster og langt ind i den indre Østersø. Blæretang er en brunalge, som vokser i store buske på lavt vand indtil ca. 5 meters dybde. Algen kan godt tåle at være delvist tørlagt ved lavvande. Kendetegn Blæretang kendes på de parvise luftfyldte flydeblærer, som sidder på hver side af midterribben. Blæretang er en brunlig alge med fladt, gaffeldelt løv. Levevis Blæretang vokser på sten og muslingeskaller, hvor den sidder fast med en hæfteskive. Planten har ikke rødder, men optager næring gennem løvets overflade ved fotosyntese."
24,Blåbær,Vaccinium myrtillus,Bilberry,Buske,Tokimbladet,Lyngordenen,Lyngfamilien,"Blåbær er en dværgbusk med grønne, kantede grene og små savtakkede blade. I juli-august kan man plukke de blå-sorte bær. Blåbær kendes især på de kantede stængler og grene. Blåbær kan forveksles med mosebølle (se mosebølle), men mosebølle har ikke savtakkede blade, og bærrene er mere aflange. Blade, blomster og frugter Små (10-25 mm), ægformede og fint savtakkede. Stilkene er korte og har også grøn underside. Blomsterne er små og kugleformede, de er først lyse, men senere bliver de røde. Bærrene er blåsorte med en mat dug på overfladen. Saften farver kraftigt. Bærrene spises af fugle og ræve og spredes hurtigt til større områder."
25,Bredbladet dunhammer,Typha latifolia,Broadleaf cattail,Græsser og siv,Enkimbladet,Dunhammer,Dunhammer,"Bredbladet dunhammer er en ret almindelig og hyppig plante i Danmark. Planten vokser i lavt vand i åer, vandløb, grøfter, vandhuller, søer, dammer og moser samt på våde enge. Blade og stængler Dunhammerens blade er lange, oprette og blågrønne, ca. 1-3 cm brede. Stænglerne er oprette og ret stive. Blomster Plantens blomsterstand er en ca. 30 cm lang cylindrisk kolbe. Den består ef en hunkolbe og en hankolbe. Hunkolben er nederst, tykkest og brunsort. Hankolben er øverst, noget tyndere og brungul. Blomsterne bestøves af hinanden med vinden. Der kan være over 100.000 hunblomster i en enkelt kolbe."
26,Brombær,Rubus plicatus,Blackberry,Buske,Tokimbladet,Rosenordenen,Rosenfamilien,"Almindelig brombær er en forgrenet busk med tornede skud. Grenene kan brede sig langt til siderne i skovbunden og danne et tæt krat. Brombær består af ca. 50 forskellige arter, så der kan være stor forskel på planternes udseende. I august-oktober kan man plukke de sorte, skinnende bær. Brombær vokser især i skovbryn og mellem anden bevoksning i markskel, langs veje og diger. Brombær trives bedst, hvor der er lyst. Blade, blomster og frugter Brombær har sammensatte, fingrede blade med savtakket rand. Blomsterne er hvide, rosa eller røde med 5 kronblade. Skov-brombær har ret få, korte og violette torne. Brombær har hvide, rosa eller røde blomster med 5 kronblade."
27,Brudelys,Butomus umbellatus,Flowering rush,Urter,Tokimbladet,Skebladordenen,Brudelysfamilien,"Brudelys er en forholdsvis sjælden urt, der findes spredt i landet - dog temmelig sjældent i Nordvestjylland. Planten vokser ved søbredder, i åer, grøfter, vandløb og sumpe. Stængel og blade Planten har en vandret jordstængel med lange blade og et bladløst, opret blomsterskaft eller overjordisk stængel. Bladene er trekantede og snoede. Blomster og frugter Brudelys har lyserøde eller rødlige blomster, som sidder i en skærm øverst på skaftet. Der er ca. 10-20 blomster i en skærm. Blomsterne består af 3 bægerblade og 3 kronblade samt en midte af 9 støvblade og 6 grifler. Blomsternes grifler bliver til en frugt af bælgkapsler."
28,Bukkeblad,Menyanthes trifoliata,Bog-bean,Urter,Tokimbladet,Snokronede,Ensianfamilien,"Bukkeblad er en almindelig sumpplante, som findes spredt i hele landet. Urten vokser i moser, damme, ved søbredder og vandløb samt på fugtige enge. Stængel og blade Plantens blade og blomster sidder på stængler eller stilke over vandet. Resten af planten, som består af lange, krybende jordstængler, er under vand. Bladene sidder sammen tre og tre. Blomster og frugter Blomsterne på bukkeblad sidder på en opret stilk i en klase over vandet. De er hvide og lyserøde samt frynsede med gule eller violette støvknapper. Blomsterne har nektar og bestøves af insekter. Frugterne indeholder frø, som kan flyde, og spredes især med vandet."
29,Buletang,Ascophyllum nodosum,Knotted wrack,Alger,Brunalger,Laminariales,Laminariaceae,"Buletang vokser på lavt vand ved kysterne. I Danmark findes algen sammen med blæretang (se blæretang) i det nordlige Kattegat.  Buletang ses ofte i opskyllet på stranden. Kendetegn Buletang er en olivengrøn alge med et tykt og båndformet løv, der består af lange hovedskud og mindre sideskud. Planten har store, ovale luftblærer på skuddene. Frugtlegemerne ligner små stikkelsbær. Levevis Buletang kan på grund af de store luftblærer drive vidt omkring med strømmen og bølgerne. Om efteråret danner algen frugtlegemer, som producerer kønsceller. De modnes sidst på vinteren."
30,Burresnerre,Gálium aparíne,Dog´s Mercury,Urter,Tokimbladet,Snokronede,Krapfamilien,"Burresnerre er almindeligt udbredt i Danmark. Planten vokser på skrænter, strandvolde, i vejkanter, skove, krat og haver. Stængel og blade Burresnerren er klatrende plante, der kravler op i andre planter med sine ru, bagudrettede småtorne. Både stænglen og bladene har torne. De spidse og lancetformede blade sidder i adskilte kranse med 5-9 blade omkring de lange, slappe og frikantede stængler. Frugter og blomster Blomsterne er små og hvide med 4 kronblade. De måler ca. 2 mm. Frugterne er grønne, runde spaltefrugter med 2 frø i hver.  De sidder parvis og er tæt beklædt med krogbørster."
31,Bændeltang (Ålegræs),Zostera marina,Eelgrass,Græsser og siv,Enkimbladet,Najade,Bændeltang,"Bændeltang eller ålegræs er en tanglignende plante, der vokser i havet fra kysten og ud til ca. 5 meters dybde. Planten danner store bevoksninger, og den er ret almindelig i Danmark. Ålegræs ses ofte opskyllet på stranden, hvor det kan danne tykke, brune bunker eller tangvolde. Blade og stængler Planten kan kendes på de lange, båndformede blade, der er græsgrønne på begge sider og har afrundede spidser. Stænglerne er også græsgrønne, lange og sammentrykte. Blomster og bestøvning Bændeltangens blomster er nøgne og enten hanlige eller hunlige. Hanblomsterne består af et enkelt støvblad, mens hunblomsterne består af en griffel og to støvfang. Han- og hunblomst- erne sidder skiftevis på to rækker i aks, der er godt skjulte. Blomsterne bestøves under vand."
32,Bævreasp,Populus tremula,Poplar,Træer,Tokimbladet,Løvfældende,Pilefamilien,"Bævreasp er et almindeligt træ i skove og hegn. Der findes både han - og hunplanter. Blade, blomster og frugter Bladene hos bævreasp er nærmest runde, med lange flade bladstilke. Kanten på bladene er let tandet. Blomstringen sker i marts-april, men bladene springer først ud i midten af maj. Om efteråret er bladene gulllige, røde og purpurfarvede. Blomsterne hænger i lange klaser. Der er enten han- eller hunblomster på træet. Frugterne er små kapsler, som indeholder mange små frø, der er har frøuld og derfor spredes let med vinden. Jorden under en bævreasp kan være helt dækket af uld fra frøene. "
33,Bøg,Fagus sylvatica,Beech,Træer,Tokimbladet,Løvfældende,Bøgefamilien,"Bøgen er det mest udbredte løvtræ i skovene i det østlige Danmark og i Østjylland. Bøgen springer ud og blomstrer i begyndelsen af maj. Blade, blomster og frugter Bladene er ovale og uden takker. Nyudsprungne blade er lysegrønne og fulde af hår. Hårene gør, at der fordamper mindre vand fra bladene. De beskytter også bladet mod nattefrost. På unge træer bliver de visne blade siddende hele vinteren. Hanblomsterne, der er små og gule, sidder mange sammen på lange stilke. Hunblomsterne sidder to og to i en lille skål med pigge. Der er han- og hun-blomster på samme træ. Bestøvningen foregår med vinden. Om efteråret kan man finde bøgens trekantede nødder, som kaldes bog. De sidder i en lille brun skål med fire klapper og pigge på siderne.  "
34,Bølget bunke,Deschampsia flexuosa,Wavy Hair-grass,Græsser og siv,Enkimbladet,Græsordenen,Græsfamilien,"Bølget bunke er en tæt tueformet græs, som især findes på heder, i klitter og i nåleskove. Bølget bunke har parvise blomstrede småaks på bølgede, glatte grene. Blade Bladene er bløde og sidder ved roden som børster. Frugter og blomster Blomsterne er omgivet af gulbrune avner. Bølget bunke kan, når planten blomstrer, farve store områder med græs helt brun-violette."
35,Børstebladet vandaks,Potamogeton pectinatus,Fennel pondweed,Urter,Enkimbladet,Græsordenen,Græsfamilien,"Bølget bunke er en tæt tueformet græs, som især findes på heder, i klitter og i nåleskove. Bølget bunke har parvise blomstrede småaks på bølgede, glatte grene. Blade Bladene er bløde og sidder ved roden som børster. Frugter og blomster Blomsterne er omgivet af gulbrune avner. Bølget bunke kan, når planten blomstrer, farve store områder med græs helt brun-violette."
36,Båndpil,Salix viminalis,Osier,Buske,Tokimbladet,Løvfældende,Pilefamilien,"Båndpil er almindelig i levende hegn, hvor det ofte danner tætte krat. Planten vokser normalt på fugtig bund på enge, ved moser og i skove. Kendetegn Grenene er oprette, meget lange og gule. Bladene er grågrønne på oversiden og sølvgrå og håret på undersiden. De smalle blade kan blive helt op til 20 cm. lange. Bladkanten er desuden takket og barken er lysebrun. Frugter og blomster Raklerne eller gæslingerne (se billede) er ca. 10 cm lange og har to, gule støvblade ved hanplanterne. Hunraklernes blomster er ca. 9 mm lange og består af en grøn frugtknude og et støvfang. Frøet spredes af vinden."
37,Douglasgran,Pseudotsuga menziesii,Douglas fir (Oregon Pine),Træer,Tokimbladet,Granordenen,Granfamilien,"Douglasgranen stammer fra Nordamerika. Den blev indført til Danmark i 1860'erne. Douglas udgør sammen med lærk, thuja og hvidgran ca. 5% af skovarealet i Danmark. Douglas står bedre fast i stormvejr end fx rødgranen. Douglas kendes bl.a. på koglerne, som har små spidser med tre flige, der stikker frem under dækskællene. I Nordamerika bliver douglasgranerne op til 90 meter høje med en diameter på næsten 5 meter. Nåle og kogler Nålene hos douglas er 2-3 cm lange, lysegrønne og bløde. De har to lysegrønne striber på undersiden og en fure på oversiden. Koglerne er 5-10 cm lange og hænger nedad. De kendes på spidserne, som stikker frem mellem skællene. Frøene er ca. 5 mm lange og sidder på en lille vinge."
38,Døvnælde,Lamium album,Dog's Mercury,Urter,Tokimbladet,Læbeblomstordenen,Læbeblomstfamilien,"Døvnælden findes overalt i Danmark. Den vokser især i skovbryn og langs vejkanter. Stænglerne er firkantede og dækket med bløde hår. Blade, frugter og blomster Bladene er hjerteformede og sidder overfor hinanden. De ligner brændenældens blade, og de har ligesom brændenælden savtakket kant, men de er uden brændhår- deraf navnet døvnælde. Blomsterne er hvide og sidder i blomsterstande inde ved stænglen. Frugterne er 4-delte små nødder.  "
39,Eg,Quercus rober/Quwecus petraea,Pedunculate Oak/Sessile Oak,Træer,Tokimbladet,Løvfældende,Bøgefamilien,"I Danmark vokser naturligt to arter af eg: Stilkeg og vintereg. Egetræer dækker ca. 9 % af skovarealet. Egetræer lever normalt i 400-500 år, men nogle træer bliver meget ældre. Danmarks ældste træ, Kongeegen ved Jægerspris er omkring 1800 år gammelt. Egetræer kendes især på de knudrede grene. Blade, blomster og frugter Bladene er glatte og har små lapper i kanten. Man siger de er fjerlappede. Bladene har en lille stilk. Der er både han- og hunblomster på samme træ. Hanblomster sidder i lange, gulgrønne rakler. Hunblomsterne er meget små og røde. De står lige op fra de nye skud. Bestøvningen sker ved hjælp af vinden. Om efteråret sætter egetræerne agern i skåle, som sidder på stilke."
40,Elm,Ulmus glabra,Mountain elm,Træer,Tokimbladet,Løvfældende,Elmefamilien,"Der vokser naturligt tre arter af elm i Danmark: Storbladet elm, Småbladet elm (parkelm) og Skærmblomstret elm. Elmen var tidligere meget almindelig i Danmark, men nu den i stærk tilbagegang på grund af elmesyge. Før bladene springer ud sidst i april, blomstrer elmetræet, og frøene er modne allerede i juni. Elmetræet er et stort træ, hvor de store blade sidder i to rækker på grenene. Elm vokser hurtigt- helt op til en meter om året. Blade, blomster og frugter Elmens blade er ovale og takkede i kanten. De er grove og ru i overfladen. Den ene side af bladet er ofte lidt større end den anden. Bladstilken er kort. Blomsterne er små. De er både er han og hun. De sidder i en lille kvast næsten yderst på grenene og bestøves med vinden. Frugten er en nød, der sidder midt inde i en meget bred vinge. Den kaldes manna."
